accession,description,gene_name,unique_peptides,control_1,control_2,control_3,lowDO_1,lowDO_2,lowDO_3,lowTEMP_1,lowTEMP_2,lowTEMP_3,low_TEMP_DO_1,low_TEMP_DO_2,low_TEMP_DO_3,antibody_mass_da,protein_mass_da,control_1 ppm,control_2 ppm,control_3 ppm,lowDO_1 ppm,lowDO_2 ppm,lowDO_3 ppm,lowTEMP_1 ppm,lowTEMP_2 ppm,lowTEMP_3 ppm,low_TEMP_DO_1 ppm,low_TEMP_DO_2 ppm,low_TEMP_DO_3 ppm,species,gene_name_lower,control_mean,control_std,control_cv_pct,control_detected,control_mean_ppm,lowDO_mean,lowDO_std,lowDO_cv_pct,lowDO_detected,lowDO_mean_ppm,lowTEMP_mean,lowTEMP_std,lowTEMP_cv_pct,lowTEMP_detected,lowTEMP_mean_ppm,low_TEMP_DO_mean,low_TEMP_DO_std,low_TEMP_DO_cv_pct,low_TEMP_DO_detected,low_TEMP_DO_mean_ppm,overall_mean_abundance,abundance_rank,lowDO_log2fc,lowDO_responsive,lowTEMP_log2fc,lowTEMP_responsive,low_TEMP_DO_log2fc,low_TEMP_DO_responsive,num_conditions_responsive,hcp_risk
G3IKK4,"60 kDa heat shock protein, mitochondrial OS=Cricetulus griseus OX=10029 GN=I79_024407 PE=4 SV=1",UNKNOWN,1,9688.264799,9744.110575,10787.371855,11210.353995000001,11867.324043999999,15263.675873,3617.8025939999998,3691.392151,5040.049882,3847.60129,4586.420983,7188.410082,149980.536284,23335,2.1772438085822334,2.1670626042515932,2.3990809592312776,3.1056923965472576,3.0029367267497666,4.070700865346059,0.9338403078227051,0.9490241687448526,1.3553892310748952,1.0011985347741967,1.1886372378721748,1.9635290491931714,Cricetulus griseus,unknown,10073.249076333334,619.0785046601202,6.15,3,2.2478,12780.451304,2175.4782477388026,17.02,3,3.3931,4116.414875666666,800.7372068401386,19.45,3,1.0794,5207.477451666667,1754.8601651216138,33.7,3,1.3845,8044.398176916667,167,0.3434,False,-1.2909,True,-0.9517,False,1,Low
G3HI47,Ecotropic virus integration site 1 protein OS=Cricetulus griseus OX=10029 GN=I79_010314 PE=4 SV=1,UNKNOWN,1,40117.23459,41686.545360000004,42503.17299,43930.94434,42876.10415,51592.91953,16061.145816,15280.302271,20366.038033,26171.456395999998,28607.880952,36594.6178,149980.536284,106822,1.9694236651309338,2.0252202460660045,2.0648937377283727,2.65862296203665,2.3700406659962985,3.0057112652702576,0.9056311982194013,0.8581557840842535,1.196417747840513,1.4876649640115687,1.6196016342266801,2.183578463075194,Cricetulus griseus,unknown,41435.65098,1212.5949466269965,2.93,3,2.0198,46133.322673333336,4757.475205884231,10.31,3,2.6781,17235.828706666667,2738.8112349046946,15.89,3,0.9867,30457.985049333336,5452.314856250143,17.9,3,1.7636,33815.696852333334,64,0.1549,False,-1.2654,True,-0.444,False,1,Medium
G3H7F0,Tudor domain-containing protein 7 OS=Cricetulus griseus OX=10029 GN=I79_006281 PE=4 SV=1,CCDC180,1,45258.81934,46689.72754,50467.105840000004,36566.39802,37434.93767,41920.18907,37947.93847,36828.99525,41491.038199999995,46530.75468,48880.87751,58695.260590000005,149980.536284,258728,0.9173364662407932,0.9365154956394929,1.0122831965285515,0.9136622219243488,0.8543481208466874,1.0083183271348963,0.8834466157823891,0.8539674806585896,1.0063472678203222,1.0920301120332525,1.142559389650196,1.4460119934900308,Cricetulus griseus,ccdc180,47471.88424000001,2690.7970741095914,5.67,3,0.9554,38640.50825333333,2873.2942723142774,7.44,3,0.9254,38755.990639999996,2433.7979269019943,6.28,3,0.9146,51368.96426,6452.653157054891,12.56,3,1.2269,44059.33684833334,52,-0.297,False,-0.2926,False,0.1138,False,0,Medium
G3HFC2,Mitochondrial import inner membrane translocase subunit Tim13 OS=Cricetulus griseus OX=10029 GN=I79_009278 PE=3 SV=1,UNKNOWN,1,2546.343076,3128.248469,2757.750543,1750.8752024,1604.5423855999998,1767.0199383,2069.7129184,2041.5731751,2262.9393346,2320.7956063,3154.7066369000004,3181.6182799999997,149980.536284,13260,1.0070296598991926,1.2243195264531619,1.0793157488417235,0.8536082131322783,0.7145108950092537,0.8293078674538424,0.9401608044714446,0.9236688979322071,1.0709430791365044,1.0627505011523652,1.4387941943419336,1.529385049821121,Cricetulus griseus,unknown,2810.7806960000003,294.5549514878738,10.48,3,1.1036,1707.4791754333335,89.51061473486865,5.24,3,0.7991,2124.741809366667,120.5067561330519,5.67,3,0.9783,2885.7068410666666,489.4124911644424,16.96,3,1.3436,2382.1771304666668,358,-0.7188,False,-0.4035,False,0.0379,False,0,Trace
G3HLE5,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial OS=Cricetulus griseus OX=10029 GN=I79_011533 PE=4 SV=1",NDUFV3,1,62832.81452,63021.083150000006,60873.0666,9810.005486,8883.529975,11520.711030999999,5919.024273,4824.647386000001,7308.379437,9999.460872,12191.564117,16104.044410999999,149980.536284,50621,6.5091557388305095,6.460887847696698,6.240674336108609,1.2528106807751707,1.0362297040407655,1.416336420169687,0.7042955685110235,0.571781041333422,0.905998269136007,1.1994545990885783,1.4565048265131193,2.0277599012884155,Cricetulus griseus,ndufv3,62242.321423333335,1189.5399731310943,1.91,3,6.4036,10071.415497333333,1337.8835435307094,13.28,3,1.2351,6017.350365333333,1244.7820052588818,20.69,3,0.7274,12765.02313333333,3092.4305131591777,24.23,3,1.5612,22774.027604833333,76,-2.6275,True,-3.3705,True,-2.2856,True,3,Medium
G3GUD1,Spermatogenesis-associated protein 7-like OS=Cricetulus griseus OX=10029 GN=I79_001286 PE=4 SV=1,UNKNOWN,1,3659.8587979999998,3631.1971869999998,4104.728967,5264.853905,5504.995865,6254.519403,3341.8766453999997,3191.0086116999996,3964.0522119999996,6587.150136,7082.918758,8978.548574999999,149980.536284,37801,0.5077265921737701,0.49852116786351497,0.5635315773315617,0.9003885275439842,0.859913750640166,1.0296947887069046,0.532503763337328,0.5064301821323545,0.6580714935521026,1.0581134187809906,1.1331624971741265,1.5139625729116375,Cricetulus griseus,unknown,3798.5949839999994,265.5068429379215,6.99,3,0.5233,5674.789724333333,516.2188639360035,9.1,3,0.93,3498.979156366666,409.76822864299794,11.71,3,0.5657,7549.539156333332,1262.1400756724574,16.72,3,1.2351,5130.475755258332,221,0.579,False,-0.1185,False,0.9907,False,0,Low
G3IL66,Zinc finger protein 160 OS=Cricetulus griseus OX=10029 GN=I79_024628 PE=4 SV=1,UNKNOWN,1,9234.728527,9782.960464,11365.770467,9594.916635,9163.096657,11968.751164000001,8590.611304,8310.029084,10331.764757,13437.944400999999,14503.582685000001,19279.110486,149980.536284,74274,0.6520129006906261,0.6835504042852877,0.7941437590717869,0.8351246633606254,0.728461560736797,1.0028359265834184,0.6966631046799756,0.67121340902817,0.8729205087478261,1.0985857856093162,1.1809233320128287,1.654483614006881,Cricetulus griseus,unknown,10127.819819333332,1106.585251451705,10.93,3,0.7099,10242.254818666666,1510.6982975389228,14.75,3,0.8555,9077.468381666667,1095.2744603184112,12.07,3,0.7469,15740.212524000002,3110.74674751376,19.76,3,1.3113,11296.938885916667,124,0.0162,False,-0.1579,False,0.6361,False,0,Low
G3HUU1,Cornulin OS=Cricetulus griseus OX=10029 GN=I79_014708 PE=4 SV=1,CRNN,2,20337.696626,18825.660139,19804.870743,9866.985788,9029.389946,12410.401001,8677.04221,7602.6673630000005,9355.853563,7274.434061,9453.444247,13111.097579000001,149980.536284,50980,2.0920439434282314,1.9164056489671246,2.016086867005612,1.2512139818106884,1.0458267920555828,1.5149693376049107,1.0251972535215041,0.8946662442460607,1.1516501957230847,0.866437677100789,1.1214333244978696,1.63927384572565,Cricetulus griseus,crnn,19656.075836,766.9214612766291,3.9,3,2.0082,10435.592245,1760.7651506417953,16.87,3,1.2707,8545.187712,883.9992474259998,10.34,3,1.0238,9946.325295666667,2949.3828255567473,29.65,3,1.209,12145.795272166668,117,-0.9134,False,-1.2017,True,-0.9827,False,1,Low
G3H6M3,Exonuclease 1 OS=Cricetulus griseus OX=10029 GN=I79_005988 PE=4 SV=1,EXO1,1,31777.2316,32921.3067,35472.76429,16463.733684,14828.855755,16093.020054,17611.785026,13821.95662,16316.885248999999,14724.527782,20103.153593000003,22278.64433,149980.536284,96271,1.7309696182494416,1.7746742225319332,1.9122145108357522,1.1055535071628235,0.9095222822078535,1.0403031872328623,1.1019032088583274,0.8613287350756862,1.0636010992719815,0.9287179545801466,1.2628504668431628,1.4750460148093696,Cricetulus griseus,exo1,33390.43419666667,1891.9040466712916,5.67,3,1.806,15795.203164333332,857.1625490599066,5.43,3,1.0185,15916.875631666668,1926.3191862203146,12.1,3,1.0089,19035.441901666665,3888.5955558593746,20.43,3,1.2222,21034.488723583334,79,-1.0799,True,-1.0688,True,-0.8107,False,2,Medium
G3HWS7,LIM domain-containing protein 1 OS=Cricetulus griseus OX=10029 GN=I79_015439 PE=4 SV=1,LIMD1,1,36782.89251,36599.728279999996,35687.77259,11626.104770999998,11914.650158999999,12274.802909,8993.271354,8665.620217,11225.254789999999,11457.438952,11847.250320000001,15314.924904,149980.536284,71415,2.7010044924679524,2.659656070084566,2.593385400859897,1.05242634024084,0.9851288550636794,1.0696530815133352,0.7585143686813092,0.7279559573642134,0.9863788875786966,0.9741729365206966,1.0032550293741889,1.3669030810886682,Cricetulus griseus,limd1,36356.79779333333,586.5861623063375,1.61,3,2.6513,11938.519279666665,325.0071072333914,2.72,3,1.0357,9628.048787,1392.8887532422586,14.47,3,0.8243,12873.204725333335,2123.5551085000097,16.5,3,1.1148,17699.142646333334,91,-1.6065,True,-1.9168,True,-1.4978,True,3,Medium
G3HAQ3,Protein FAM83C OS=Cricetulus griseus OX=10029 GN=I79_007511 PE=4 SV=1,FAM83C,1,33396.654299,29671.185813,25617.513154,21173.08068,18063.461951999998,22378.546609999998,16699.78773,13689.208064999999,18273.203007,8381.582886,10255.581364,16164.446862,149980.536284,79605,2.200044591611367,1.9343346703483193,1.6700661771386118,1.7194542423749586,1.3398674215289315,1.7494816454085877,1.2635899389653902,1.0316511610536816,1.4404936017066807,0.6393278839325223,0.7791178585784023,1.294293566882288,Cricetulus griseus,fam83c,29561.784422,3890.7243203191015,13.16,3,1.9348,20538.363080666666,2226.4632771739907,10.84,3,1.6029,16220.732934,2329.242909240758,14.36,3,1.2452,11600.537037333334,4062.0096306696855,35.02,3,0.9042,19480.354368499997,83,-0.5254,False,-0.8659,False,-1.3495,True,1,Medium
G3HSZ8,Atlastin-2 (Fragment) OS=Cricetulus griseus OX=10029 GN=I79_013998 PE=4 SV=1,UNKNOWN,1,6440.375124,6239.043385999999,6356.469481,11567.390929000001,10624.62494,12903.901113,11748.474357,11303.242522,13181.625851,6326.2005580000005,6249.699888,8173.679598000001,149980.536284,43813,0.7708627169025679,0.7390129921712917,0.7529220811863911,1.7067870492481931,1.4318970750219222,1.8328878581608996,1.6151543700941504,1.5477290988498142,1.8880043477170696,0.8767543180424978,0.8626594669724397,1.189123356446723,Cricetulus griseus,unknown,6345.295997,101.12987807789018,1.59,3,0.7543,11698.638994,1145.292324747732,9.79,3,1.6572,12077.780910000001,981.5360854562799,8.13,3,1.6836,6916.526681333334,1089.3980815295404,15.75,3,0.9762,9259.560645583335,144,0.8825,False,0.9285,False,0.1243,False,0,Low
G3I3F5,Leucine-rich repeat-containing protein 56 OS=Cricetulus griseus OX=10029 GN=H671_3g9398 PE=4 SV=1,UNKNOWN,1,27673.9621,26443.49443,31149.88668,7557.140395,7533.197461,10105.039036,6235.798508,5919.9149182,7821.994845,4678.113018,5661.597849,8091.417053,149980.536284,46438,3.125120038885663,2.955169511899236,3.481128247234157,1.0520367249172233,0.9578710104150779,1.3541985609063854,0.8088241716500413,0.7647805798589845,1.0570146812601564,0.6116953109886811,0.7373076360028432,1.1106145801669942,Cricetulus griseus,unknown,28422.447736666665,2440.8410566723196,8.59,3,3.1871,8398.458964,1477.9901801543797,17.6,3,1.1214,6659.236090400001,1019.2897289904579,15.31,3,0.8769,6143.709306666667,1756.9817022516,28.6,3,0.8199,12405.963024433333,113,-1.7587,True,-2.0934,True,-2.2097,True,3,Medium
G3I3W5,Tripartite motif-containing protein 66 OS=Cricetulus griseus OX=10029 GN=I79_018134 PE=4 SV=1,TRI66,2,26907.1767,26288.874913,26889.859948999998,25519.81393,22818.888845,29803.05898,23154.55024,20195.820929,26752.838799999998,17043.543578,18154.029316,25642.922319999998,149980.536284,144779,0.9746112658116803,0.9423310181922985,0.9638734707607862,1.1395118562064313,0.9306579804195962,1.2810707912047838,0.9633105841915992,0.8368561887088739,1.1595815623134862,0.7148127193072866,0.7583168062516245,1.1289487720348939,Cricetulus griseus,tri66,26695.303853999998,352.08426623194174,1.32,3,0.9603,26047.253918333332,3521.832310690883,13.52,3,1.1171,23367.736656333334,3283.7032716485082,14.05,3,0.9866,20280.165071333333,4677.357012744536,23.06,3,0.8674,24097.614875,73,-0.0355,False,-0.1921,False,-0.3965,False,0,Medium
G3HYA9,Rho GTPase-activating protein 21 OS=Cricetulus griseus OX=10029 GN=I79_016033 PE=4 SV=1,UNKNOWN,1,97379.38231,94759.09075,106159.5501,28208.242763000002,27794.059347000002,37218.7791,29581.687921999997,24756.724158,37779.78315,31509.256884000002,26996.225337999997,42333.08967,149980.536284,216395,2.3598731699458666,2.2725357421352173,2.5459443527980907,0.8427053052774663,0.758413306661317,1.0703671218375208,0.8234007995247212,0.6863424322839066,1.0955929784629335,0.8841559787011624,0.7544649073336149,1.2469385052354691,Cricetulus griseus,unknown,99432.67438666667,5971.149354339341,6.01,3,2.3928,31073.693736666668,5325.827876256659,17.14,3,0.8905,30706.065076666666,6583.933806375203,21.44,3,0.8684,33612.857297333336,7881.85910231689,23.45,3,0.9619,48706.322624333334,47,-1.678,True,-1.6952,True,-1.5647,True,3,High
G3I9X8,"Spectrin alpha chain, brain OS=Cricetulus griseus OX=10029 GN=I79_020389 PE=4 SV=1",SPTAN1,1,33946.157810000004,36198.845538,41375.26605,36782.80326,34619.97432,42200.7132,38469.06506,37590.22642,46312.54301,33978.27524,34978.760200000004,47997.59045,149980.536284,258833,0.6877646481407167,0.7257919274599433,0.8295798843660198,0.9186965711887694,0.7897839084356414,1.0146540757721265,0.895215391636962,0.8712648414241748,1.1228351091398727,0.7971125243387372,0.8172745730659555,1.181985315313212,Cricetulus griseus,sptan1,37173.42313266667,3809.233968454636,10.25,3,0.7477,37867.830259999995,3905.107320514079,10.31,3,0.9077,40790.61149666667,4802.279153406962,11.77,3,0.9631,38984.87529666667,7821.254270584723,20.06,3,0.9321,38704.1850465,59,0.0267,False,0.134,False,0.0686,False,0,Medium
G3HDX8,Complement C1q tumor necrosis factor-related protein 2 OS=Cricetulus griseus OX=10029 GN=I79_008746 PE=4 SV=1,C1QT2,2,15478.045124,15920.979448000002,16254.642038000002,6529.296253,6539.980176,6730.717804,4298.3151290000005,3970.68498,4680.585297,3947.203942,4910.308687,6033.494102000001,149980.536284,29753,2.7280618682695823,2.777001273318236,2.8352000443370033,1.4186737378874164,1.2979168038414026,1.4078243733993374,0.8701678736794397,0.8006257691193814,0.9872028557678098,0.8055578841278739,0.9980705797575358,1.2925591358889212,Cricetulus griseus,c1qt2,15884.555536666667,389.5776144700763,2.45,3,2.7801,6599.998077666667,113.33257118835523,1.72,3,1.3748,4316.528468666666,355.30044937423736,8.23,3,0.886,4963.668910333334,1044.1681583939649,21.04,3,1.0321,7941.187748333334,169,-1.267,True,-1.8794,True,-1.6779,True,3,Medium
G3H3E5,Leucine-rich repeat-containing protein KIAA1731 OS=Cricetulus griseus OX=10029 GN=I79_004760 PE=4 SV=1,UNKNOWN,1,29144.83214,31396.208469999998,31071.03639,17152.522632,16216.606499,20247.723808000002,10899.341717,9915.767721,11302.195323,9272.583604,9454.555108,12060.729696999999,149980.536284,71328,2.142744458312725,2.2843056646806486,2.260646998219386,1.5545864267229337,1.342459267371793,1.7665828945062603,0.9203982348518307,0.8339906687209268,0.9943511099704031,0.7893664426608226,0.801612114855402,1.0777693499783711,Cricetulus griseus,unknown,30537.358999999997,1216.8740741214667,3.98,3,2.2292,17872.284313,2109.74390573994,11.8,3,1.5545,10705.768253666667,713.1958974762919,6.66,3,0.9162,10262.622803,1559.8620800425751,15.2,3,0.8896,17344.508592416667,92,-0.7728,False,-1.5121,True,-1.5731,True,2,Medium
G3GZG5,Signal recognition particle receptor subunit beta OS=Cricetulus griseus OX=10029 GN=I79_003224 PE=4 SV=1,UNKNOWN,1,24840.383410000002,27150.646310000004,29142.4904,4673.4534047,4921.8876298000005,6948.168367,2569.5475271,4007.8689408,3811.9545439,3068.1062073999997,4545.0896192,5808.784045,149980.536284,28790,4.524655299081578,4.894130740358239,5.25317727205275,1.049405097458396,1.009464881789923,1.5019190588510944,0.5375892121758086,0.8351543356681779,0.8308890766993314,0.6470929576060644,0.9547375580489099,1.2860440882565436,Cricetulus griseus,unknown,27044.506706666667,2153.016569815134,7.96,3,4.8907,5514.503133833333,1247.7888008967639,22.63,3,1.1869,3463.1236706,780.0348427489774,22.52,3,0.7345,4473.9932905333335,1371.7214616460453,30.66,3,0.9626,10124.031700408334,133,-2.2938,True,-2.9648,True,-2.5954,True,3,Medium
G3GZH3,C-C chemokine receptor type 11 OS=Cricetulus griseus OX=10029 GN=I79_003233 PE=3 SV=1,ACKR4,1,5863.792332,5286.48188,6241.686222,16017.675525,15246.008979,17484.576588,3923.37114,5041.840856,5214.632022,4979.270883,5676.853647,7438.3682929999995,149980.536284,39672,0.7751100268807076,0.6915438319287784,0.8164975697710971,2.6101310544553717,2.2692025424039124,2.7427668012211663,0.5956770291676572,0.7624299207919557,0.8248530282872687,0.7621134163864807,0.86537994049476,1.1951044780139417,Cricetulus griseus,ackr4,5797.320144666667,481.05898547950596,8.3,3,0.7611,16249.420364,1137.1347711763747,7.0,3,2.5407,4726.614672666667,700.9738414092421,14.83,3,0.7277,6031.497607666667,1267.3276104051317,21.01,3,0.9409,8201.21319725,163,1.4868,True,-0.2945,False,0.0571,False,1,Low
G3GRS4,Protein CBFA2T3 (Fragment) OS=Cricetulus griseus OX=10029 GN=I79_000218 PE=4 SV=1,UNKNOWN,1,19591.353457,19567.216303,21997.880960000002,12126.576339,10232.138640000001,12613.901555,8125.077206999999,7903.5157070000005,9848.943318,8094.466186,8128.464065,11578.067889,149980.536284,65389,1.5711896635435558,1.5529640762667922,1.745875261757884,1.1988930059759637,0.9239807127372303,1.200501207203999,0.7484423536441963,0.7251210596674533,0.9451961490486247,0.7516600462699523,0.7517735051334979,1.128609463151436,Cricetulus griseus,unknown,20385.483573333335,1396.4292498898499,6.85,3,1.6233,11657.538844666668,1258.2510775418361,10.79,3,1.1078,8625.845410666667,1065.0111467787303,12.35,3,0.8063,9266.99938,2001.5162262426795,21.6,3,0.8773,12483.966802166668,111,-0.8062,False,-1.2407,True,-1.1373,True,2,Medium
G3H7U2,Structural maintenance of chromosomes protein OS=Cricetulus griseus OX=10029 GN=I79_006435 PE=3 SV=1,SMC1A,1,70388.84581,67485.39845000001,71111.35063,25652.10989,21687.068947,30996.47526,14058.637818,13090.523231,17354.058335,14766.207037,16490.563969,24495.06863,149980.536284,143221,2.5773061571955638,2.4453451921655533,2.5767322023045622,1.157879346254577,0.8941190417021233,1.3468631444201151,0.59125128280451,0.5483340276701156,0.7603811681817894,0.6260372867564953,0.6963250646520084,1.0901449573327286,Cricetulus griseus,smc1a,69661.86496333334,1919.1816397821258,2.75,3,2.5331,26111.884699,4671.7027015183985,17.89,3,1.133,14834.406461333332,2235.127655581334,15.07,3,0.6333,18583.946545333336,5191.278737662776,27.93,3,0.8042,32298.025667250004,66,-1.4156,True,-2.2313,True,-1.9063,True,3,Medium
G3HZ85,"Acyl-CoA synthetase short-chain family member 3, mitochondrial OS=Cricetulus griseus OX=10029 GN=I79_016381 PE=4 SV=1",UNKNOWN,1,31584.45057,30030.35262,33014.490470000004,4643.73058,5319.289766,6649.697964000001,3296.291093,3086.9216207,4405.650925,3241.3014944,4230.648813100001,6690.29483,149980.536284,33555,4.936111399116251,4.644513697488063,5.10604238131334,0.8946572569312482,0.9360468613108727,1.233282406561523,0.5917031330523255,0.5519036330076119,0.8239290996192483,0.5865433768937489,0.7624878963978329,1.2708675919817816,Cricetulus griseus,unknown,31543.09788666667,1492.4986466542641,4.73,3,4.8956,5537.572770000002,1020.6428801468217,18.43,3,1.0213,3596.287879566667,708.7032513454662,19.71,3,0.6558,4720.748379166667,1775.960851411808,37.62,3,0.8733,11349.426728850001,123,-2.5098,True,-3.1324,True,-2.74,True,3,Medium
G3H043,AP-4 complex subunit epsilon-1 OS=Cricetulus griseus OX=10029 GN=I79_003491 PE=4 SV=1,UNKNOWN,1,12865.246135000001,13608.091897999999,13689.152464,11025.674599999998,11170.905735,12446.128353,8834.706492,7680.231274000001,9845.768734000001,10264.873833,11599.937896,13270.198812999999,149980.536284,74275,0.9083313592009276,0.9508053843038625,0.9564691337248118,0.9596423991694871,0.8880694126759787,1.0428202946839853,0.7164485704957271,0.620335351200091,0.8318479893382531,0.8391679800069709,0.9444875226670583,1.1387989560804346,Cricetulus griseus,unknown,13387.496832333332,454.0947555179691,3.39,3,0.9385,11547.569562666666,781.5554653428798,6.77,3,0.9635,8786.902166666667,1083.5599027309217,12.33,3,0.7229,11711.670180666668,1505.7747628482236,12.86,3,0.9742,11358.409685583334,122,-0.2133,False,-0.6074,False,-0.1929,False,0,Low
G3I4X8,Protein strawberry notch-like 1 OS=Cricetulus griseus OX=10029 GN=I79_018519 PE=4 SV=1,UNKNOWN,1,23632.20535,21984.487009999997,22104.39605,15157.311880000001,14897.976012,16077.274394,15656.982519,14256.90612,16133.184964,13111.141376,14054.151758,16110.890823,149980.536284,101755,1.2179160735960173,1.1212375582534926,1.1273530759438062,0.9629713037850568,0.8645153275858786,0.9832739307302654,0.9268039224023342,0.8405516881247082,0.9949502272233948,0.782388918555394,0.8352800360454513,1.009197317247737,Cricetulus griseus,unknown,22573.696136666666,918.654374888672,4.07,3,1.1555,15377.520762,619.7218184239781,4.03,3,0.9369,15349.024534333332,975.312342457769,6.35,3,0.9208,14425.394652333334,1533.9459414004602,10.63,3,0.8756,16931.409021333333,93,-0.5538,False,-0.5565,False,-0.646,False,0,Medium
G3HXX8,Delta-1-pyrroline-5-carboxylate synthase OS=Cricetulus griseus OX=10029 GN=H671_3g8921 PE=3 SV=1,ALDH18A1,1,15505.795893999999,16714.424915,18204.595723,8647.188465,9309.274981999999,11525.456151999999,6546.790931,7522.932907,8835.555153,12601.547873,14013.893505,18356.82708,149980.536284,87218,0.9323024132329959,0.994540273554827,1.0832082887912777,0.6409375532897347,0.6302471940685076,0.8223749230809387,0.4521243564321758,0.5174590161757486,0.6357183093725326,0.8773153315031076,0.9717082960580996,1.3415404890445202,Cricetulus griseus,aldh18a1,16808.272177333332,1351.8452613883746,8.04,3,1.0034,9827.306532999999,1507.439463255716,15.34,3,0.6979,7635.092997,1148.496987509511,15.04,3,0.5351,14990.756152666667,2999.4174704326147,20.01,3,1.0635,12315.356964999999,114,-0.7742,False,-1.1384,True,-0.1651,False,1,Low
G3HRD2,GTP-binding protein REM 2 OS=Cricetulus griseus OX=10029 GN=I79_013397 PE=4 SV=1,UNKNOWN,1,2107.625289,2244.4727488999997,2496.913357,2762.539065,2913.4953781,3378.4971809999997,2847.261719,3050.355274,3852.6329809999997,4476.7678209999995,4776.3073540000005,6699.259797000001,149980.536284,34748,0.3180771395505587,0.3352135639131113,0.3729157440616858,0.5139555172540319,0.49509176902538926,0.6050783412238087,0.4935522446139153,0.5266420166354873,0.6957686021913733,0.7822988776711514,0.8312768272693962,1.22887949750092,Cricetulus griseus,unknown,2283.0037982999997,197.48362285944643,8.65,3,0.3421,3018.1772080333335,321.0448789580839,10.64,3,0.538,3250.083324666666,531.611995990683,16.36,3,0.572,5317.444990666667,1206.0224302263148,22.68,3,0.9475,3467.1773304166663,284,0.4026,False,0.5094,False,1.2194,True,1,Low
G3H8J8,Uncharacterized protein C6orf170 OS=Cricetulus griseus OX=10029 GN=I79_006700 PE=4 SV=1,C6ORF170,2,12697.535463,7277.619454,7098.0422610000005,5978.70255274,6712.0557318,2608.4082062,4260.6828092,4864.2820874399995,2307.9246515,5046.8640255,4296.9120773,853.6445737,149980.536284,10003,6.656685435718404,3.775688292065291,3.682522180616666,3.8638796944643548,3.962109470400848,1.6227930857815789,2.56557367191383,2.917315349838673,1.4478659621152725,3.0635804120987062,2.597822176406153,0.5439501571768662,Cricetulus griseus,c6orf170,9024.399059333335,3182.296383434046,35.26,3,4.705,5099.72216358,2188.477929289361,42.91,3,3.1496,3810.9631827133326,1336.1985787699791,35.06,3,2.3103,3399.1402255,2236.1279181101813,65.79,3,2.0685,5333.556157781666,217,-0.8233,False,-1.2435,True,-1.4084,True,2,Medium
G3GTE2,Caskin-2 OS=Cricetulus griseus OX=10029 GN=I79_000921 PE=4 SV=1,UNKNOWN,1,99647.18959000001,78030.44052,68825.88004,63383.687655,65702.904743,33911.179308,33541.697492,37111.289238,21082.144988,35586.85582,31547.420624,11754.628775,149980.536284,124850,4.185481020273734,3.243490060921927,2.8608842441012126,3.281979570710525,3.1074003414401874,1.6903327507155386,1.6181994385956664,1.7832506406426523,1.0596519710907595,1.7307686537350848,1.5281237690274916,0.6001124859843463,Cricetulus griseus,unknown,82167.83671666669,15821.719756726012,19.26,3,3.43,54332.59056866667,17723.437036401276,32.62,3,2.6932,30578.377239333335,8415.421352298727,27.52,3,1.487,26296.301739666666,12754.389386958474,48.5,3,1.2863,48343.77656608334,49,-0.5967,False,-1.426,True,-1.6437,True,2,High
G3GZG2,5-aminolevulinate synthase OS=Cricetulus griseus OX=10029 GN=I79_003263 PE=3 SV=1,ALAS1,2,13260.077460999999,9172.182601,6924.719439,22852.838544000002,18402.919207,12541.649721,21307.330869999998,18682.843343,15308.514818,12273.302617,10809.941071000001,5309.104603,149980.536284,45112,1.5414265975841333,1.0551584226147135,0.7966125793775706,3.2748769541791636,2.408772716738762,1.7301368056945394,2.844936147020453,2.484538804657829,2.1295016384281324,1.65198960362933,1.4491537540857249,0.750138562567403,Cricetulus griseus,alas1,9785.659833666667,3211.9240422183393,32.82,3,1.1311,17932.469157333333,5171.667639438324,28.84,3,2.4713,18432.896343666667,3007.208611534959,16.31,3,2.4863,9464.116097,3671.9813643361485,38.8,3,1.2838,13903.785357916666,100,0.8738,False,0.9135,False,-0.0482,False,0,Medium
G3IKF2,Adenylyl-sulfate kinase OS=Cricetulus griseus OX=10029 GN=I79_024353 PE=3 SV=1,LOC100762413,1,4954.5369200000005,3257.073961,2503.4852335,13552.563101000002,14256.130718,8424.205778,8279.1821358,9137.2595925,5282.3265317,7834.504562,7653.1836645,2784.6566926,149980.536284,22909,1.134137748868475,0.737833802474137,0.5671213031662433,3.824390432894786,3.6744870588982943,2.288446133078959,2.176791634161065,2.392790770176391,1.4469586253699926,2.0765545986615312,2.0203156357088465,0.7747789623980303,Cricetulus griseus,loc100762413,3571.6987048333335,1255.4501740601922,35.15,3,0.813,12077.633198999998,3183.457363984761,26.36,3,3.2624,7566.256086666667,2023.9379658136422,26.75,3,2.0055,6090.7816397,2864.6231761516706,47.03,3,1.6239,7326.59240755,178,1.7574,True,1.0828,True,0.7698,False,2,Medium
